date,close,open,high,low,volume,Change %
2021-09-09,1452.67,1430.98,1452.67,1427.77,16900000000.0,1.31
2021-09-08,1433.85,1454.83,1457.27,1432.54,19500000000.0,-1.44
2021-09-07,1454.74,1474.21,1476.33,1454.74,18500000000.0,-1.35
2021-09-06,1474.72,1469.75,1478.73,1469.75,17000000000.0,0.41
2021-09-03,1468.67,1480.35,1482.11,1464.8,17700000000.0,-0.71
2021-09-02,1479.12,1474.85,1484.95,1472.05,15300000000.0,0.34
2021-09-01,1474.13,1475.62,1478.96,1468.42,16600000000.0,0.14
2021-08-31,1472.07,1467.18,1474.47,1463.01,18900000000.0,0.95
2021-08-27,1458.23,1450.87,1458.23,1444.11,15900000000.0,0.67
2021-08-26,1448.52,1456.0,1463.79,1445.17,17100000000.0,-0.33
2021-08-25,1453.3,1465.28,1471.43,1451.92,18600000000.0,-0.86
2021-08-24,1465.89,1465.18,1472.46,1463.91,16600000000.0,0.45
2021-08-23,1459.33,1454.91,1463.07,1453.68,17200000000.0,1.02
2021-08-20,1444.63,1439.62,1449.27,1432.4,16299999999.999998,0.33
2021-08-19,1439.86,1441.38,1445.74,1433.85,17400000000.0,-0.67
2021-08-18,1449.59,1465.81,1467.16,1448.48,21300000000.0,-0.83
2021-08-17,1461.69,1454.14,1461.69,1449.58,18800000000.0,0.44
2021-08-16,1455.25,1451.33,1461.96,1451.33,20500000000.0,0.53
2021-08-13,1447.64,1444.82,1449.25,1440.09,13899999999.999998,0.22
2021-08-12,1444.46,1419.69,1447.63,1419.69,20299999999.999996,2.38
2021-08-11,1410.87,1438.92,1439.48,1409.81,21400000000.0,-1.85
2021-08-10,1437.46,1429.51,1441.81,1426.47,19300000000.0,0.34
2021-08-09,1432.61,1436.85,1443.29,1431.75,18500000000.0,-0.15
2021-08-06,1434.76,1433.6,1440.53,1425.06,18700000000.0,0.21
2021-08-05,1431.78,1409.05,1431.78,1407.56,20700000000.0,1.27
2021-08-04,1413.8,1411.9,1422.34,1411.9,19900000000.0,0.35
2021-08-03,1408.81,1402.26,1409.36,1394.27,23300000000.0,0.65
2021-08-02,1399.65,1397.98,1405.63,1394.66,22200000000.000004,0.48
2021-07-30,1392.91,1383.25,1392.91,1380.02,18400000000.0,0.09
2021-07-29,1391.64,1370.52,1393.37,1370.52,16299999999.999998,2.27
2021-07-28,1360.75,1358.79,1367.63,1355.23,14100000000.0,0.09
2021-07-27,1359.55,1348.08,1360.5,1341.93,14900000000.0,0.77
2021-07-26,1349.11,1355.54,1362.57,1345.52,14800000000.0,-0.18
2021-07-19,1351.59,1357.93,1357.93,1348.39,4980700000.0,-0.86
2021-07-16,1363.28,1370.32,1373.63,1356.95,9993500000.0,-0.29
2021-07-14,1367.25,1349.22,1368.98,1349.22,11500000000.0,1.52
2021-07-13,1346.84,1358.27,1360.14,1341.52,13799999999.999998,-0.75
2021-07-12,1356.96,1378.63,1382.45,1355.23,16399999999.999998,-1.55
2021-07-09,1378.28,1374.44,1381.74,1371.53,14600000000.0,0.39
2021-07-08,1372.98,1387.74,1390.89,1372.54,15500000000.0,-1.27
2021-07-07,1390.58,1384.57,1392.84,1383.97,15500000000.0,0.58
2021-07-06,1382.58,1394.72,1399.9,1382.58,17900000000.0,-0.72
2021-07-05,1392.64,1375.97,1392.64,1375.72,13400000000.0,1.16
2021-07-02,1376.67,1376.88,1379.79,1367.68,13100000000.0,0.28
2021-07-01,1372.78,1358.2,1372.78,1358.2,13500000000.0,1.21
2021-06-30,1356.34,1374.94,1376.71,1352.23,18500000000.0,-1.12
2021-06-29,1371.67,1371.96,1374.74,1351.64,19500000000.0,-0.12
2021-06-28,1373.25,1395.16,1397.55,1368.24,20400000000.0,-1.34
2021-06-25,1391.86,1413.99,1414.88,1391.69,15000000000.0,-1.34
2021-06-24,1410.79,1405.26,1416.14,1405.17,17700000000.0,0.6
2021-06-23,1402.35,1415.44,1419.77,1401.32,21000000000.0,-0.53
2021-06-22,1409.85,1402.88,1411.44,1394.25,17500000000.0,0.81
2021-06-21,1398.52,1388.2,1398.52,1378.34,18600000000.0,0.54
2021-06-18,1391.06,1417.95,1422.29,1388.71,21000000000.0,-1.63
2021-06-17,1414.15,1423.0,1429.23,1413.58,21100000000.0,-1.2
2021-06-16,1431.31,1441.36,1444.79,1431.31,17400000000.0,-0.78
2021-06-15,1442.56,1451.06,1456.56,1431.7,28100000000.0,-0.8
2021-06-14,1454.25,1466.57,1468.95,1450.67,18500000000.0,-0.45
2021-06-11,1460.86,1461.22,1464.49,1455.39,22300000000.0,0.29
2021-06-10,1456.68,1453.24,1461.97,1449.64,24000000000.0,0.52
2021-06-09,1449.17,1449.85,1453.36,1445.69,20400000000.0,0.11
2021-06-08,1447.59,1447.49,1453.9,1443.39,19500000000.0,0.04
2021-06-07,1447.08,1433.96,1450.55,1432.64,19700000000.0,0.99
2021-06-04,1432.93,1428.91,1435.24,1427.4,18700000000.0,0.34
2021-06-03,1428.13,1434.72,1441.15,1411.52,26400000000.0,-0.18
2021-06-02,1430.73,1420.4,1434.79,1418.77,22300000000.0,-0.09
2021-06-01,1432.04,1424.47,1433.55,1423.0,20800000000.0,0.81
2021-05-31,1420.49,1423.09,1427.44,1414.32,20400000000.0,-0.11
2021-05-28,1422.06,1413.12,1422.8,1401.25,21000000000.0,0.5
2021-05-27,1415.03,1426.55,1428.87,1411.46,25400000000.0,-0.84
2021-05-26,1427.06,1413.12,1427.06,1392.87,26500000000.0,1.92
2021-05-25,1400.22,1457.48,1459.26,1400.22,33400000000.0,-3.58
2021-05-24,1452.18,1453.69,1457.77,1441.7,20200000000.0,0.02
2021-05-21,1451.84,1456.44,1462.28,1449.28,19700000000.0,0.14
2021-05-20,1449.82,1451.87,1454.81,1439.36,23300000000.0,-0.67
2021-05-18,1459.57,1461.15,1465.56,1459.57,21600000000.0,0.37
2021-05-17,1454.25,1446.96,1455.48,1445.61,19900000000.0,0.9
